subject_id,label_0_low_workload_rows,label_1_high_workload_rows,total_rows,conditions_documented_in_bundle,baseline_rest_identifiable,workload_task_identifiable,temporal_order_or_start_time_present,notes
1,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
10,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
11,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
12,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
13,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
14,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
15,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
16,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
17,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
18,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
19,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
2,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
20,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
21,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
22,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
23,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
24,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
25,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
26,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
27,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
28,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
29,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
3,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
30,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
31,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
32,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
33,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
34,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
