subject_id,condition,label,condition_mapping,filename,relative_path,num_channels,channel_names,sampling_frequency_hz,sample_count,duration_sec,expected_duration_sec,duration_matches_expected,raw_header_highpass_hz,raw_header_lowpass_hz,reference_metadata,file_sha256,expected_4s_50pct_windows_from_header
Subject00,rest,0,_1_rest_background,Subject00_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject00_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",8b23c443f2f5f733f8ccc31a54377898009c28c7563d1107692a8735212d2f15,90
Subject00,arithmetic,1,_2_mental_arithmetic,Subject00_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject00_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",635bbf035777008ff6c23d9c7bfc497d584fc71c56217022946d1fd056527e43,30
Subject01,rest,0,_1_rest_background,Subject01_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject01_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",9ece09029ed7d6911d96a776eb86905dd00a53c065c8eb9e0fd3c7aefd0f7ac4,90
Subject01,arithmetic,1,_2_mental_arithmetic,Subject01_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject01_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",cbc4a053c2c8ce0e77ff62b4608a2cc2fe584886a6cd2fa0b343cfce3212376f,30
Subject02,rest,0,_1_rest_background,Subject02_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject02_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",02da547be13c67b310a020d48be83be6a1faad72b26519e8084038aea1aa30f8,90
Subject02,arithmetic,1,_2_mental_arithmetic,Subject02_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject02_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",2ff3c97cbc6be7c4b3e43df85f42621d2837bd860463747557a6c3a558d802ee,30
Subject03,rest,0,_1_rest_background,Subject03_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject03_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",8f22c7eb40e2d2b2f61dadd874172f395fed9ca83c843e9d92b492ec2b3d4f41,90
Subject03,arithmetic,1,_2_mental_arithmetic,Subject03_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject03_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",d4792fe50ad51d7ad607caeaf3c24f2d19087cb96311c4c2cbdfdd6418f56cf0,30
Subject04,rest,0,_1_rest_background,Subject04_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject04_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,85000,170.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",0c96ec8a36767673772d35c1c8e8328c6a51f18e83b806f5776d02f388c65a73,84
Subject04,arithmetic,1,_2_mental_arithmetic,Subject04_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject04_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",4455d8e910ac8f5a18a5c050e2b544d147b092458cd135c04e3030f2ee63f90f,30
